,titles,locations,prices
2226,3 Bed House with En Suite at Nyerere Road,"Nyerere road, Mombasa Island",
2227,4 Bed Villa with En Suite at Links Road,"Links road, Nyali Area, Nyali",
2228,4 Bed Villa with En Suite at Off Loresho Ridge,"1, Off Loresho Ridge, Loresho, Westlands",
2229,4 Bed Townhouse with En Suite at Mombasa Road,"Mombasa Road, Athi River",
2230,3 Bed Villa with En Suite at La-Marina Mtwapa,"Mtwapa, La-marina Mtwapa",
2231,3 Bed House at Kimalat,"Kimalat, Kitengela",
2232,3 Bed House with En Suite in Kitengela,Kitengela,
2233,3 Bed House in Kitengela,Kitengela,
2234,4 Bed Townhouse with En Suite at Near Wilson Airport,"Near Wilson Airport, Langata",
2235,4 Bed Townhouse with En Suite in Syokimau,Syokimau,
2236,6 Bed Villa with En Suite at Posta Mtwapa,"Posta, Posta Mtwapa, Mtwapa",
2237,5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2238,4 Bed Villa with En Suite in Malindi,Malindi,
2239,3 Bed House with En Suite at Kanamai,"Kanamai, Kikambala",
2240,4 Bed House with Garden at Kiembeni Estate,"Kiembeni Estate, Mombasa CBD, Mombasa Island",
2241,4 Bed House with En Suite at Near Serena Hotel,"Near Serena Hotel, Shanzu",
2242,3 Bed House with En Suite in Diani,Diani,
2243,4 Bed Townhouse with En Suite in Shanzu,Shanzu,
2244,3 Bed House with En Suite at Kiembeni,"Kiembeni, Bamburi",
2245,3 Bed Townhouse with En Suite in Mtwapa,Mtwapa,
2246,3 Bed House with En Suite in Mtwapa,Mtwapa,
2247,3 Bed Townhouse with En Suite in Shanzu,Shanzu,
2248,4 Bed Townhouse in Nyali Area,"Nyali Area, Nyali",
2249,4 Bed Townhouse in Nyali Area,"Nyali Area, Nyali",
2250,3 Bed Townhouse in Malindi,Malindi,
2251,5 Bed Townhouse with En Suite at Off Ruaka Rd,"2, Off Ruaka Rd, Runda, Westlands",
2252,5 Bed House with En Suite at Kizingoni Beach,"Kizingoni Beach, Lamu, lamu",
2253,4 Bed House with Swimming Pool at South Of Mida Creek,"South of Mida Creek, Watamu",
2254,4 Bed Villa with En Suite at Greenwood Nyali,"Nyali, Greenwood Nyali, Nyali Area",
2255,5 Bed House with En Suite at Nairobi,"Lenana Road, Kilimani, Nairobi",
2256,4 Bed Townhouse with En Suite in Kilifi,Kilifi,
2257,4 Bed Townhouse with Garden at Links Road,"Links road, Nyali Area, Nyali",
